Date,Time ,Bout,Video Sequence,Video ID,Pdog ID,Sex,Numerical Category code,Numerical Category,Ethogram Tag,Prairie Dog Behavior,Numerical Category code (snakes),Numerical Category,Ethogram Tag,Snake Behavior,Time stamp,* Curiosities,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,7,Half coil + tongue flicking,1:24,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,7,Half coil + tongue flicking,1:25,,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,10,Retreat,Retreat,,,7,Half coil + tongue flicking,1:26,,The prairie dog adjusts angle and snake follows
,,,,,,,,2,Jump yip,Jump yip x3,,,7,Half coil + tongue flicking,1:27,,
,,,,,,,,,,,,,10,Coiled resting + tongue flicking,1:28,,
,,,,,,,,2,Jump yip,Half yip while walking away,,,10,Coiled resting + tongue flicking,1:30,Tail upright,
,,,,,,,,2,Jump yip,Jump yip,,,10,Coiled resting + tongue flicking,1:31,Tail upright,
,,,,,,,,2,Jump yip,Jump yip,,,10,Coiled resting + tongue flicking,1:33,Tail upright,
,,,,,,,,10,Retreat,Moving away ,,,10,Coiled resting + tongue flicking,1:33,,
7/13/2021,9:06,6,1,4778,NONE,,,,NA,Snake moving farther away,,,,,,,
7/13/2021,9:14,6,2,4793,Juvenile,Unknown,,7,Sniffing,Sniffing,,,,No snake visible ,0:00,In area where snake was headed from previous location coiled. ,
,,,,,,,,10,Retreat,Retreat ,,,,No snake visible ,0:05,Adult posting visible behind,
,,,,,,,,1,Posting,Posting,,,,No snake visible ,0:13,,
,,,,,,,,,Vocalizing,Squeak,,,,No snake visible ,0:20,,
,,,,,,,,1,Posting,Post leaning forward,,,,No snake visible ,0:22,Sniffing,
,,,,,,,,15,Moving away,Moving away ,,,,No snake visible ,0:29,Adult posting stumbled,
,,,,,,,,7,Sniffing,Sniffing,,,,No snake visible ,0:35,,
,,,,,,,,15,Moving away,Turning away,,,,No snake visible ,0:41,,
,,,,,,,,,NA,Out of film view ,,,,No snake visible ,0:43,Squeak,
,,,,,,,,1,Posting,Post leaning forward,,,,No snake visible ,0:49,,
,,,,,,,,15,Moving away,Moving away ,,,,No snake visible ,0:51,,
,,,,,,,,,NA,Out of film view ,,,,No snake visible ,0:52,,
,,,,,,,,1,Posting,Posting,,,,No snake visible ,1:01,2 other pdogs also posting,
7/13/21,9:16,6,3,4795,,3 prairie dogs (from seq 2),,15,Moving away,Moving,,,,No snake visible ,0:00,2 dogs are moving togethrer 1 is posting,
,,,,,,,,7,Sniffing,Sniffing,,,,No snake visible ,0:04,,
,,,,,,,,1,Posting,Posting,,,,No snake visible ,0:07,All 3,
,,,,,,,,7,Sniffing,Sniffing,,,,No snake visible ,0:09,,
,,,,,,,,,,,,,,,,,
Leaving Juveniles out***,,,,,,,,,,,,,,,,,
