Date,Time ,Bout,Video Sequence,Video ID,Pdog ID,Sex,Numerical Category code,Numerical Category,Ethogram Tag,Prairie Dog Behavior,Numerical Category code (snakes),Numerical Category,Ethogram Tag,Snake Behavior,Time stamp,* Curiosities,
,,,,,,,,1,Posting,Posting,,,NA,No snake visible ,0:16,,
,,,,,,,,,,Out of film view ,,,NA,No snake visible ,0:28,,
,,,,,,,,3,Approach,Aproaching burrow,,,NA,No snake visible ,0:46,Tail up,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,NA,No snake visible ,0:52,,
,,,,,,,,,Jump back,Startled,,,NA,No snake visible ,0:53,,
,,,,,,,,3,Approach,Aproach-startled,,,NA,No snake visible ,0:54,,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,NA,No snake visible ,0:56,,
,,,,,,,,10,Retreat,Startled and flipped backwards,,,NA,No snake visible ,0:58,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,0:59,,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,NA,No snake visible ,1:00,,
,,,,,,,,,,Out of film view ,,,NA,No snake visible ,1:07,,
,,,,,,,,18,Vocalizing,Sqeaking - no id,,,NA,No snake visible ,1:14,,
,,,,,,,,7,Sniffing,Sniffing inside of burrow,,,NA,No snake visible ,1:20,,
,,,,,,,,1,Posting,Posting ,,,NA,No snake visible ,1:28,,
,,,,,,,,7,Sniffing,Sniffing inside of burrow,,,NA,No snake visible ,1:31,,
7/12/2021,10:15 AM,1,3,4474,"Mark under right eye, whithish mustache",F,,7,Sniffing ,Sniffing,,,NA,No snake visible ,0:00,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,NA,No snake visible ,0:02,,
,,,,,,,,4,Scratching,Scratch,,,,,,,
,,,,,,,,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,0:03,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,,,,,
,,,,,,,,4,Scratching,Scratch,,,NA,No snake visible ,0:05,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,0:06,,
